time_step,request_id,vnf_chain,total_destinations,destinations_connected,destinations_failed,cpu_consumed,bw_consumed,mem_consumed,total_hops,avg_hops_per_dest,fully_deployed,partial_deployed,backup_used,backup_levels,failed_nodes,failure_reasons,deployment_time
2,REQ_1,VNF_6->VNF_3->VNF_5,5,5,0,145.6667,70.0000,196.3333,10,2.00,True,False,False,,,,0.5476
4,REQ_8,VNF_6->VNF_2->VNF_3,5,5,0,171.0000,77.0000,196.3333,11,2.20,True,False,False,,,,0.0441
7,REQ_22,VNF_8->VNF_1->VNF_2,5,5,0,144.0000,50.0000,69.3333,10,2.00,True,False,False,,,,0.0235
8,REQ_25,VNF_2->VNF_3->VNF_8,5,5,0,140.0000,75.0000,154.0000,15,3.00,True,False,False,,,,0.0431
11,REQ_38,VNF_1->VNF_8->VNF_5,5,5,0,158.3333,50.0000,82.3333,10,2.00,True,False,False,,,,0.0373
12,REQ_42,VNF_6->VNF_5->VNF_2,5,5,0,183.6667,77.0000,183.6667,11,2.20,True,False,False,,,,0.0394
13,REQ_48,VNF_6->VNF_1->VNF_5,5,5,0,222.0000,112.0000,132.0000,14,2.80,True,False,False,,,,0.7788
15,REQ_55,VNF_3->VNF_6->VNF_8,5,5,0,161.3333,50.0000,124.6667,10,2.00,True,False,False,,,,0.3937
16,REQ_61,VNF_5->VNF_2->VNF_4,5,5,0,73.6667,48.0000,102.0000,12,2.40,True,False,False,,,,0.3485
17,REQ_66,VNF_6->VNF_1->VNF_2,5,5,0,161.0000,44.0000,84.3333,11,2.20,True,False,False,,,,0.3788
20,REQ_85,VNF_2->VNF_6->VNF_8,5,5,0,216.6667,55.0000,133.3333,11,2.20,True,False,False,,,,0.4040
25,REQ_111,VNF_6->VNF_8->VNF_4,5,5,0,234.3333,80.0000,120.3333,10,2.00,True,False,False,,,,0.3750
26,REQ_116,VNF_7->VNF_6->VNF_2,5,5,0,264.0000,66.0000,132.0000,11,2.20,True,False,False,,,,0.3798
27,REQ_118,VNF_4->VNF_7->VNF_1,5,5,0,220.0000,54.0000,80.0000,9,1.80,True,False,False,,,,0.3560
28,REQ_123,VNF_8->VNF_6->VNF_5,5,5,0,136.0000,55.0000,90.6667,11,2.20,True,False,False,,,,0.3790
29,REQ_127,VNF_3->VNF_8->VNF_1,5,5,0,145.6667,60.0000,88.6667,12,2.40,True,False,False,,,,0.4050
30,REQ_131,VNF_2->VNF_5->VNF_3,5,5,0,126.6667,70.0000,240.6667,10,2.00,True,False,False,,,,0.3536
34,REQ_150,VNF_6->VNF_3->VNF_4,5,5,0,122.6667,75.0000,145.6667,15,3.00,True,False,True,"resource_aware,resource_aware",,,0.6840
35,REQ_156,VNF_3->VNF_1->VNF_7,5,5,0,162.0000,75.0000,84.0000,15,3.00,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.6209
36,REQ_159,VNF_8->VNF_5->VNF_2,5,5,0,186.0000,44.0000,165.3333,11,2.20,True,False,True,resource_aware,,,0.6144
37,REQ_165,VNF_6->VNF_5->VNF_8,5,5,0,259.0000,136.0000,175.0000,17,3.40,True,False,True,resource_aware,,,0.6516
38,REQ_170,VNF_8->VNF_3->VNF_1,5,5,0,138.0000,65.0000,84.0000,13,2.60,True,False,True,"resource_aware,resource_aware",,,0.6269
39,REQ_177,VNF_4->VNF_7->VNF_5,5,5,0,348.0000,128.0000,261.0000,16,3.20,True,False,True,"resource_aware,resource_aware",,,0.6480
40,REQ_179,VNF_8->VNF_7->VNF_4,5,5,0,234.6667,152.0000,96.0000,19,3.80,True,False,True,"resource_aware,resource_aware",,,0.6251
41,REQ_180,VNF_5->VNF_7->VNF_8,5,5,0,381.3333,144.0000,208.0000,18,3.60,True,False,True,resource_aware,,,0.6260
42,REQ_185,VNF_6->VNF_7->VNF_3,5,5,0,264.0000,70.0000,176.0000,10,2.00,True,False,True,resource_aware,,,0.6383
43,REQ_189,VNF_8->VNF_5->VNF_7,5,5,0,234.6667,102.0000,139.3333,17,3.40,True,False,True,resource_aware,,,0.6252
44,REQ_193,VNF_3->VNF_2->VNF_5,5,5,0,72.0000,60.0000,132.0000,15,3.00,True,False,True,"resource_aware,resource_aware",,,0.6198
45,REQ_196,VNF_3->VNF_1->VNF_7,5,5,0,162.0000,75.0000,84.0000,15,3.00,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.6559
46,REQ_202,VNF_1->VNF_3->VNF_5,5,5,0,160.0000,147.0000,186.6667,21,4.20,True,False,True,"resource_aware,resource_aware",,,0.6679
47,REQ_205,VNF_7->VNF_3->VNF_5,5,5,0,85.0000,64.0000,90.0000,16,3.20,True,False,True,"resource_aware,resource_aware",,,0.6389
48,REQ_208,VNF_7->VNF_4->VNF_5,5,5,0,162.0000,44.0000,126.0000,11,2.20,True,False,True,"smart_greedy,resource_aware",,,0.6029
49,REQ_212,VNF_4->VNF_8->VNF_3,5,5,0,146.6667,66.0000,161.3333,11,2.20,True,False,True,"resource_aware,resource_aware",,,0.6433
50,REQ_217,VNF_5->VNF_7->VNF_2,5,5,0,147.0000,64.0000,119.0000,16,3.20,True,False,True,"resource_aware,resource_aware",,,0.6097
51,REQ_224,VNF_5->VNF_4->VNF_8,5,5,0,126.0000,96.0000,126.0000,16,3.20,True,False,True,"smart_greedy,resource_aware,resource_aware,resource_aware",,,0.6479
52,REQ_229,VNF_4->VNF_6->VNF_8,5,5,0,120.0000,64.0000,60.0000,16,3.20,True,False,True,"resource_aware,resource_aware",,,0.6669
53,REQ_233,VNF_7->VNF_1->VNF_8,5,5,0,192.6667,85.0000,39.6667,17,3.40,True,False,True,"resource_aware,resource_aware",,,0.6628
54,REQ_236,VNF_6->VNF_2->VNF_3,5,5,0,189.0000,112.0000,217.0000,16,3.20,True,False,True,"resource_aware,resource_aware",,,1.0713
55,REQ_241,VNF_6->VNF_2->VNF_3,5,5,0,309.3333,88.0000,348.0000,11,2.20,True,False,True,smart_greedy,,,0.6680
56,REQ_243,VNF_3->VNF_5->VNF_6,5,5,0,106.6667,96.0000,144.0000,16,3.20,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.6727
57,REQ_246,VNF_1->VNF_6->VNF_8,5,5,0,333.3333,112.0000,91.6667,16,3.20,True,False,True,"smart_greedy,resource_aware",,,0.7175
58,REQ_253,VNF_6->VNF_8->VNF_1,5,5,0,164.3333,75.0000,45.3333,15,3.00,True,False,True,"resource_aware,resource_aware,resource_aware,resource_aware",,,0.6750
59,REQ_254,VNF_5->VNF_1->VNF_3,5,5,0,79.3333,44.0000,90.6667,11,2.20,True,False,True,"resource_aware,resource_aware",,,0.6531
60,REQ_258,VNF_5->VNF_8->VNF_7,5,5,0,228.0000,126.0000,126.0000,18,3.60,True,False,True,resource_aware,,,0.6671
61,REQ_265,VNF_5->VNF_1->VNF_3,5,5,0,140.0000,102.0000,166.6667,17,3.40,True,False,True,"resource_aware,resource_aware",,,0.6732
62,REQ_269,VNF_7->VNF_5->VNF_6,5,5,0,213.3333,84.0000,126.6667,14,2.80,True,False,False,,,,0.7236
63,REQ_274,VNF_8->VNF_6->VNF_1,5,5,0,238.0000,108.0000,70.0000,18,3.60,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.6580
64,REQ_278,VNF_6->VNF_3->VNF_4,5,5,0,153.3333,98.0000,173.3333,14,2.80,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.6641
65,REQ_283,VNF_7->VNF_2->VNF_5,5,5,0,259.6667,104.0000,209.0000,13,2.60,True,False,True,"resource_aware,resource_aware",,,0.6529
66,REQ_290,VNF_5->VNF_6->VNF_2,5,5,0,124.6667,44.0000,124.6667,11,2.20,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.6957
67,REQ_294,VNF_4->VNF_1->VNF_8,5,5,0,144.0000,60.0000,54.0000,12,2.40,True,False,True,resource_aware,,,0.6871
68,REQ_297,VNF_2->VNF_1->VNF_4,5,5,0,204.0000,128.0000,144.0000,16,3.20,True,False,True,"resource_aware,resource_aware",,,0.6774
69,REQ_303,VNF_7->VNF_6->VNF_3,5,5,0,300.0000,98.0000,200.0000,14,2.80,True,False,False,,,,0.6841
70,REQ_311,VNF_6->VNF_7->VNF_8,5,5,0,253.0000,80.0000,76.6667,16,3.20,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.6467
71,REQ_314,VNF_8->VNF_6->VNF_4,5,5,0,185.0000,128.0000,95.0000,16,3.20,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.6627
72,REQ_318,VNF_7->VNF_2->VNF_3,5,5,0,160.0000,70.0000,146.6667,14,2.80,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.6803
73,REQ_324,VNF_1->VNF_7->VNF_6,5,5,0,260.0000,90.0000,66.6667,15,3.00,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.6957
74,REQ_325,VNF_3->VNF_2->VNF_5,5,5,0,113.3333,91.0000,215.3333,13,2.60,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.7100
75,REQ_330,VNF_2->VNF_7->VNF_5,5,5,0,133.0000,52.0000,107.6667,13,2.60,True,False,True,"resource_aware,resource_aware",,,0.6936
76,REQ_337,VNF_2->VNF_3->VNF_8,5,5,0,277.3333,152.0000,303.3333,19,3.80,True,False,True,"resource_aware,resource_aware",,,0.6311
77,REQ_339,VNF_6->VNF_7->VNF_4,5,5,0,105.0000,48.0000,50.0000,12,2.40,True,False,True,"resource_aware,resource_aware",,,0.6958
78,REQ_346,VNF_6->VNF_4->VNF_3,5,5,0,216.0000,104.0000,240.0000,13,2.60,True,False,True,resource_aware,,,0.6422
79,REQ_349,VNF_8->VNF_1->VNF_6,5,5,0,346.6667,70.0000,95.3333,10,2.00,True,False,True,"resource_aware,resource_aware",,,0.6646
80,REQ_353,VNF_2->VNF_4->VNF_5,5,5,0,199.3333,120.0000,276.0000,15,3.00,True,False,True,resource_aware,,,0.6990
81,REQ_357,VNF_3->VNF_8->VNF_2,5,5,0,180.0000,112.0000,200.0000,16,3.20,True,False,True,"resource_aware,resource_aware",,,0.6048
82,REQ_361,VNF_6->VNF_7->VNF_2,5,5,0,136.0000,68.0000,73.6667,17,3.40,True,False,True,resource_aware,,,0.7230
83,REQ_366,VNF_2->VNF_6->VNF_8,5,5,0,252.0000,112.0000,147.0000,16,3.20,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.5529
84,REQ_371,VNF_6->VNF_5->VNF_2,5,5,0,150.0000,96.0000,150.0000,16,3.20,True,False,True,resource_aware,,,0.5340
85,REQ_375,VNF_3->VNF_4->VNF_7,5,5,0,192.6667,152.0000,164.3333,19,3.80,True,False,True,"resource_aware,resource_aware",,,0.5288
86,REQ_377,VNF_7->VNF_1->VNF_4,5,5,0,286.0000,114.0000,104.0000,19,3.80,True,False,True,"resource_aware,resource_aware",,,0.5121
87,REQ_379,VNF_4->VNF_1->VNF_8,5,5,0,184.0000,70.0000,69.0000,14,2.80,True,False,False,,,,0.5070
88,REQ_382,VNF_7->VNF_3->VNF_2,5,5,0,164.3333,96.0000,147.3333,16,3.20,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.5394
89,REQ_388,VNF_6->VNF_3->VNF_2,5,5,0,144.0000,66.0000,156.0000,11,2.20,True,False,True,"resource_aware,resource_aware",,,0.5861
90,REQ_396,VNF_4->VNF_7->VNF_6,5,5,0,278.6667,105.0000,124.6667,15,3.00,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.5488
91,REQ_398,VNF_3->VNF_5->VNF_4,5,5,0,190.0000,112.0000,380.0000,14,2.80,True,False,True,"resource_aware,resource_aware",,,0.5581
92,REQ_404,VNF_4->VNF_3->VNF_6,5,5,0,180.0000,128.0000,200.0000,16,3.20,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.5407
93,REQ_407,VNF_3->VNF_4->VNF_1,5,5,0,136.0000,112.0000,130.3333,16,3.20,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.5351
94,REQ_413,VNF_7->VNF_5->VNF_6,5,5,0,224.0000,96.0000,133.0000,16,3.20,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4758
95,REQ_420,VNF_8->VNF_7->VNF_6,5,5,0,329.3333,90.0000,104.0000,15,3.00,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4291
96,REQ_424,VNF_3->VNF_2->VNF_5,5,5,0,68.0000,72.0000,124.6667,18,3.60,True,False,True,"resource_aware,resource_aware",,,0.4499
97,REQ_431,VNF_7->VNF_3->VNF_1,5,5,0,192.0000,102.0000,108.0000,17,3.40,True,False,True,"resource_aware,resource_aware",,,0.6710
98,REQ_435,VNF_3->VNF_7->VNF_8,5,5,0,312.0000,63.0000,199.3333,9,1.80,True,False,True,smart_greedy,,,0.4753
99,REQ_439,VNF_7->VNF_2->VNF_3,5,5,0,184.0000,45.0000,168.6667,9,1.80,True,False,True,"smart_greedy,resource_aware",,,0.4416
100,REQ_445,VNF_6->VNF_1->VNF_4,5,5,0,177.3333,72.0000,76.0000,12,2.40,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4921
101,REQ_448,VNF_6->VNF_3->VNF_4,5,5,0,130.3333,119.0000,147.3333,17,3.40,True,False,True,"smart_greedy,resource_aware,resource_aware,resource_aware",,,0.4329
102,REQ_456,VNF_2->VNF_7->VNF_8,5,5,0,350.0000,98.0000,175.0000,14,2.80,True,False,True,"smart_greedy,resource_aware",,,0.4384
103,REQ_460,VNF_7->VNF_2->VNF_8,5,5,0,133.3333,52.0000,64.0000,13,2.60,True,False,True,"resource_aware,resource_aware",,,0.4499
104,REQ_464,VNF_4->VNF_3->VNF_6,5,5,0,198.0000,96.0000,220.0000,12,2.40,True,False,True,"resource_aware,resource_aware",,,0.4596
105,REQ_467,VNF_4->VNF_1->VNF_6,5,5,0,90.0000,76.0000,40.0000,19,3.80,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4434
106,REQ_473,VNF_1->VNF_8->VNF_7,5,5,0,368.0000,105.0000,88.0000,15,3.00,True,False,False,,,,0.4363
107,REQ_476,VNF_4->VNF_6->VNF_2,5,5,0,166.6667,55.0000,150.0000,11,2.20,True,False,True,"smart_greedy,resource_aware",,,0.4453
108,REQ_482,VNF_3->VNF_8->VNF_4,5,5,0,153.0000,128.0000,164.3333,16,3.20,True,False,True,"smart_greedy,resource_aware,resource_aware,resource_aware",,,0.4499
109,REQ_486,VNF_4->VNF_2->VNF_3,5,5,0,73.3333,44.0000,126.6667,11,2.20,True,False,True,resource_aware,,,0.4394
110,REQ_491,VNF_8->VNF_3->VNF_6,5,5,0,230.0000,98.0000,176.3333,14,2.80,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4361
112,REQ_494,VNF_8->VNF_5->VNF_4,5,5,0,225.0000,119.0000,207.0000,17,3.40,True,False,True,resource_aware,,,0.4449
113,REQ_500,VNF_8->VNF_7->VNF_3,5,5,0,135.0000,85.0000,80.0000,17,3.40,True,False,True,"resource_aware,resource_aware,resource_aware,resource_aware,resource_aware",,,0.4409
114,REQ_504,VNF_3->VNF_8->VNF_5,5,5,0,138.0000,75.0000,168.6667,15,3.00,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4472
