Episode,RequestID,Status,ConsumedBW,ConsumedCPU,ConsumedMem,Links,VNFs
0,146,Accepted,77.00,39.00,14.00,11,3
1,150,Accepted,60.00,16.00,19.00,12,3
2,156,Accepted,60.00,27.00,14.00,12,3
3,159,Accepted,48.00,18.00,16.00,12,3
4,165,Accepted,88.00,37.00,25.00,11,3
5,170,Accepted,70.00,23.00,14.00,14,3
6,177,Accepted,104.00,36.00,27.00,13,3
7,179,Accepted,72.00,44.00,18.00,9,3
8,180,Accepted,112.00,44.00,24.00,14,3
9,185,Accepted,84.00,36.00,24.00,12,3
10,189,Accepted,60.00,32.00,19.00,10,3
11,193,Accepted,40.00,12.00,22.00,10,3
12,196,Accepted,75.00,27.00,14.00,15,3
13,202,Accepted,77.00,24.00,28.00,11,3
14,205,Accepted,56.00,17.00,18.00,14,3
15,208,Accepted,40.00,18.00,14.00,10,3
16,212,Accepted,78.00,20.00,22.00,13,3
17,217,Accepted,48.00,21.00,17.00,12,3
18,224,Accepted,60.00,21.00,21.00,10,3
19,229,Accepted,52.00,18.00,9.00,13,3
20,233,Accepted,50.00,34.00,7.00,10,3
21,236,Accepted,84.00,27.00,31.00,12,3
22,241,Accepted,104.00,32.00,36.00,13,3
23,243,Accepted,66.00,20.00,27.00,11,3
24,246,Accepted,70.00,40.00,11.00,10,3
25,253,Accepted,45.00,29.00,8.00,9,3
26,254,Accepted,40.00,14.00,16.00,10,3
27,258,Accepted,77.00,38.00,21.00,11,3
28,265,Accepted,66.00,21.00,25.00,11,3
29,269,Accepted,72.00,32.00,19.00,12,3
30,274,Accepted,78.00,34.00,10.00,13,3
31,278,Accepted,49.00,23.00,26.00,7,3
32,283,Accepted,96.00,41.00,33.00,12,3
33,290,Accepted,44.00,17.00,17.00,11,3
34,294,Accepted,55.00,24.00,9.00,11,3
35,297,Accepted,80.00,34.00,24.00,10,3
36,303,Accepted,63.00,36.00,24.00,9,3
37,311,Accepted,65.00,33.00,10.00,13,3
38,314,Accepted,80.00,37.00,19.00,10,3
39,318,Accepted,60.00,24.00,22.00,12,3
40,324,Accepted,66.00,39.00,10.00,11,3
41,325,Accepted,91.00,20.00,38.00,13,3
42,330,Accepted,36.00,21.00,17.00,9,3
43,337,Accepted,72.00,32.00,35.00,9,3
44,339,Accepted,32.00,21.00,10.00,8,3
45,346,Accepted,96.00,27.00,30.00,12,3
46,349,Accepted,70.00,40.00,11.00,10,3
47,353,Accepted,112.00,26.00,36.00,14,3
48,357,Accepted,77.00,27.00,30.00,11,3
49,361,Accepted,64.00,24.00,13.00,16,3
50,366,Accepted,84.00,36.00,21.00,12,3
51,371,Accepted,78.00,25.00,25.00,13,3
52,375,Accepted,88.00,34.00,29.00,11,3
53,377,Accepted,90.00,33.00,12.00,15,3
54,379,Accepted,60.00,24.00,9.00,12,3
55,382,Accepted,72.00,29.00,26.00,12,3
56,388,Accepted,72.00,24.00,26.00,12,3
57,396,Accepted,77.00,38.00,17.00,11,3
58,398,Accepted,96.00,19.00,38.00,12,3
59,404,Accepted,96.00,27.00,30.00,12,3
60,407,Accepted,77.00,24.00,23.00,11,3
61,413,Accepted,78.00,32.00,19.00,13,3
62,420,Accepted,60.00,38.00,12.00,10,3
63,424,Accepted,36.00,12.00,22.00,9,3
64,431,Accepted,66.00,32.00,18.00,11,3
65,435,Accepted,70.00,36.00,23.00,10,3
66,439,Accepted,30.00,24.00,22.00,6,3
67,445,Accepted,36.00,28.00,12.00,6,3
68,448,Accepted,77.00,23.00,26.00,11,3
69,456,Accepted,63.00,42.00,21.00,9,3
70,460,Accepted,52.00,25.00,12.00,13,3
71,464,Accepted,80.00,27.00,30.00,10,3
72,467,Accepted,40.00,18.00,8.00,10,3
73,473,Accepted,77.00,46.00,11.00,11,3
74,476,Accepted,60.00,20.00,18.00,12,3
75,482,Accepted,56.00,27.00,29.00,7,3
76,486,Accepted,44.00,11.00,19.00,11,3
77,491,Accepted,77.00,30.00,23.00,11,3
78,494,Accepted,70.00,25.00,23.00,10,3
79,500,Accepted,30.00,27.00,16.00,6,3
80,504,Accepted,50.00,18.00,22.00,10,3
81,507,Accepted,48.00,17.00,13.00,12,3
82,512,Accepted,44.00,16.00,15.00,11,3
83,513,Accepted,60.00,29.00,8.00,12,3
84,515,Accepted,50.00,22.00,22.00,10,3
85,523,Accepted,96.00,27.00,29.00,12,3
86,527,Accepted,72.00,25.00,20.00,12,3
87,530,Accepted,55.00,33.00,10.00,11,3
88,539,Accepted,66.00,24.00,26.00,11,3
89,544,Accepted,44.00,21.00,13.00,11,3
90,546,Accepted,72.00,26.00,18.00,12,3
91,553,Accepted,96.00,42.00,25.00,12,3
92,558,Accepted,88.00,52.00,16.00,11,3
93,561,Accepted,48.00,37.00,25.00,6,3
94,568,Accepted,96.00,27.00,29.00,12,3
95,572,Accepted,55.00,17.00,23.00,11,3
96,578,Accepted,49.00,45.00,14.00,7,3
97,584,Accepted,88.00,35.00,27.00,11,3
98,588,Accepted,84.00,20.00,38.00,12,3
99,592,Accepted,70.00,25.00,23.00,10,3
100,600,Accepted,80.00,52.00,13.00,10,3
101,603,Accepted,40.00,18.00,16.00,10,3
102,604,Accepted,60.00,31.00,20.00,10,3
103,606,Accepted,48.00,33.00,17.00,8,3
104,609,Accepted,66.00,20.00,22.00,11,3
105,616,Accepted,72.00,24.00,26.00,12,3
106,622,Accepted,70.00,40.00,11.00,10,3
107,629,Accepted,50.00,24.00,14.00,10,3
108,632,Accepted,66.00,28.00,17.00,11,3
109,639,Accepted,55.00,28.00,9.00,11,3
110,642,Accepted,55.00,27.00,12.00,11,3
