request_id,vnf_chain,total_destinations,destinations_connected,destinations_failed,cpu_consumed,bw_consumed,mem_consumed,total_hops,avg_hops_per_dest,fully_deployed,partial_deployed,backup_used,backup_levels,failed_nodes,failure_reasons,deployment_time
REQ_1,VNF_6->VNF_3->VNF_5,5,5,0,145.6667,70.0000,196.3333,10,2.00,True,False,False,,,,0.3542
REQ_8,VNF_6->VNF_2->VNF_3,5,5,0,171.0000,77.0000,196.3333,11,2.20,True,False,False,,,,0.0271
REQ_22,VNF_8->VNF_1->VNF_2,5,5,0,144.0000,50.0000,69.3333,10,2.00,True,False,False,,,,0.0142
REQ_25,VNF_2->VNF_3->VNF_8,5,5,0,140.0000,75.0000,154.0000,15,3.00,True,False,False,,,,0.0268
REQ_38,VNF_1->VNF_8->VNF_5,5,5,0,158.3333,50.0000,82.3333,10,2.00,True,False,False,,,,0.0264
REQ_42,VNF_6->VNF_5->VNF_2,5,5,0,183.6667,77.0000,183.6667,11,2.20,True,False,False,,,,0.0250
REQ_48,VNF_6->VNF_1->VNF_5,5,5,0,222.0000,112.0000,132.0000,14,2.80,True,False,False,,,,0.5081
REQ_55,VNF_3->VNF_6->VNF_8,5,5,0,161.3333,50.0000,124.6667,10,2.00,True,False,False,,,,0.3192
REQ_61,VNF_5->VNF_2->VNF_4,5,5,0,73.6667,48.0000,102.0000,12,2.40,True,False,False,,,,0.2758
REQ_66,VNF_6->VNF_1->VNF_2,5,5,0,161.0000,44.0000,84.3333,11,2.20,True,False,False,,,,0.2631
REQ_85,VNF_2->VNF_6->VNF_8,5,5,0,216.6667,55.0000,133.3333,11,2.20,True,False,False,,,,0.2644
REQ_111,VNF_6->VNF_8->VNF_4,5,5,0,234.3333,80.0000,120.3333,10,2.00,True,False,False,,,,0.2655
REQ_116,VNF_7->VNF_6->VNF_2,5,5,0,264.0000,66.0000,132.0000,11,2.20,True,False,False,,,,0.2603
REQ_118,VNF_4->VNF_7->VNF_1,5,5,0,220.0000,54.0000,80.0000,9,1.80,True,False,False,,,,0.2568
REQ_123,VNF_8->VNF_6->VNF_5,5,5,0,136.0000,55.0000,90.6667,11,2.20,True,False,False,,,,0.2729
REQ_127,VNF_3->VNF_8->VNF_1,5,5,0,145.6667,60.0000,88.6667,12,2.40,True,False,False,,,,0.2747
REQ_131,VNF_2->VNF_5->VNF_3,5,5,0,126.6667,70.0000,240.6667,10,2.00,True,False,False,,,,0.2550
REQ_150,VNF_6->VNF_3->VNF_4,5,5,0,90.6667,95.0000,107.6667,19,3.80,True,False,True,"resource_aware,resource_aware",,,0.4408
REQ_156,VNF_3->VNF_1->VNF_7,5,5,0,153.0000,75.0000,79.3333,15,3.00,True,False,True,"resource_aware,resource_aware",,,0.4176
REQ_159,VNF_8->VNF_5->VNF_2,5,5,0,102.0000,68.0000,90.6667,17,3.40,True,False,True,resource_aware,,,0.4270
REQ_165,VNF_6->VNF_5->VNF_8,5,5,0,308.3333,88.0000,208.3333,11,2.20,True,False,True,resource_aware,,,0.4293
REQ_170,VNF_8->VNF_3->VNF_1,5,5,0,130.3333,70.0000,79.3333,14,2.80,True,False,True,"resource_aware,resource_aware",,,0.5288
REQ_177,VNF_4->VNF_7->VNF_5,5,5,0,264.0000,120.0000,198.0000,15,3.00,True,False,True,resource_aware,,,0.4791
REQ_179,VNF_8->VNF_7->VNF_4,5,5,0,366.6667,128.0000,150.0000,16,3.20,True,False,True,"smart_greedy,smart_greedy,resource_aware",,,0.5079
REQ_180,VNF_5->VNF_7->VNF_8,5,5,0,322.6667,144.0000,176.0000,18,3.60,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4894
REQ_185,VNF_6->VNF_7->VNF_3,5,5,0,228.0000,98.0000,152.0000,14,2.80,True,False,False,,,,0.4585
REQ_189,VNF_8->VNF_5->VNF_7,5,5,0,266.6667,60.0000,158.3333,10,2.00,True,False,True,resource_aware,,,0.4543
REQ_193,VNF_3->VNF_2->VNF_5,5,5,0,72.0000,60.0000,132.0000,15,3.00,True,False,True,resource_aware,,,0.4438
REQ_196,VNF_3->VNF_1->VNF_7,5,5,0,135.0000,65.0000,70.0000,13,2.60,True,False,True,resource_aware,,,0.4386
REQ_202,VNF_1->VNF_3->VNF_5,5,5,0,136.0000,112.0000,158.6667,16,3.20,True,False,True,"resource_aware,resource_aware",,,0.4472
REQ_205,VNF_7->VNF_3->VNF_5,5,5,0,96.3333,48.0000,102.0000,12,2.40,True,False,True,resource_aware,,,0.4402
REQ_208,VNF_7->VNF_4->VNF_5,5,5,0,108.0000,48.0000,84.0000,12,2.40,True,False,True,"smart_greedy,resource_aware,resource_aware,resource_aware",,,0.4386
REQ_212,VNF_4->VNF_8->VNF_3,5,5,0,140.0000,60.0000,154.0000,10,2.00,True,False,True,"resource_aware,resource_aware",,,0.4445
REQ_217,VNF_5->VNF_7->VNF_2,5,5,0,147.0000,52.0000,119.0000,13,2.60,True,False,False,,,,0.4442
REQ_224,VNF_5->VNF_4->VNF_8,5,5,0,140.0000,84.0000,140.0000,14,2.80,True,False,True,resource_aware,,,0.4489
REQ_229,VNF_4->VNF_6->VNF_8,5,5,0,192.0000,52.0000,96.0000,13,2.60,True,False,True,resource_aware,,,0.4353
REQ_233,VNF_7->VNF_1->VNF_8,5,5,0,283.3333,75.0000,58.3333,15,3.00,True,False,True,"smart_greedy,resource_aware",,,0.4390
REQ_236,VNF_6->VNF_2->VNF_3,5,5,0,162.0000,91.0000,186.0000,13,2.60,True,False,True,"resource_aware,resource_aware",,,0.7203
REQ_241,VNF_6->VNF_2->VNF_3,5,5,0,192.0000,112.0000,216.0000,14,2.80,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4642
REQ_243,VNF_3->VNF_5->VNF_6,5,5,0,153.3333,102.0000,207.0000,17,3.40,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4488
REQ_246,VNF_1->VNF_6->VNF_8,5,5,0,213.3333,140.0000,58.6667,20,4.00,True,False,True,"resource_aware,resource_aware,resource_aware",,,0.4461
REQ_253,VNF_6->VNF_8->VNF_1,5,5,0,164.3333,75.0000,45.3333,15,3.00,True,False,True,"resource_aware,resource_aware,resource_aware,resource_aware",,,0.4461
REQ_254,VNF_5->VNF_1->VNF_3,5,5,0,79.3333,48.0000,90.6667,12,2.40,True,False,True,resource_aware,,,0.4468
REQ_258,VNF_5->VNF_8->VNF_7,5,5,0,228.0000,133.0000,126.0000,19,3.80,True,False,True,"smart_greedy,resource_aware,resource_aware,resource_aware",,,0.4541
REQ_265,VNF_5->VNF_1->VNF_3,5,5,0,119.0000,108.0000,141.6667,18,3.60,True,False,True,"resource_aware,resource_aware",,,0.4410
REQ_269,VNF_7->VNF_5->VNF_6,5,5,0,256.0000,78.0000,152.0000,13,2.60,True,False,True,"smart_greedy,resource_aware,resource_aware",,,0.4607
REQ_274,VNF_8->VNF_6->VNF_1,5,5,0,283.3333,96.0000,83.3333,16,3.20,True,False,True,"smart_greedy,resource_aware",,,0.4559
REQ_278,VNF_6->VNF_3->VNF_4,5,5,0,130.3333,133.0000,147.3333,19,3.80,True,False,True,"resource_aware,resource_aware",,,0.4437
REQ_283,VNF_7->VNF_2->VNF_5,5,5,0,232.3333,120.0000,187.0000,15,3.00,True,False,True,"smart_greedy,smart_greedy,resource_aware,resource_aware",,,0.4519
