Metric,Value
Total Requests,317
Full Acceptance Rate,100.00%
Partial Acceptance Rate,0.00%
Blocking Rate,0.00%
""
Avg CPU per Deployment,139.3375
Avg BW per Deployment,86.6404
Avg MEM per Deployment,99.7792
""
Avg CPU Utilization,49.92%
Avg BW Utilization,7.58%
Avg MEM Utilization,48.83%
Std CPU Utilization,0.2763
Std BW Utilization,0.0178
Std MEM Utilization,0.3670
""
Avg Hops per Destination,2.86
Avg Deployment Time (s),0.4156
""
Top Failed Nodes,
""
Failure Reasons,
""
Backup Policy Usage,
  resource_aware,604
  smart_greedy,115
